Intake KPI 'MVP' has no implementation in any service or route. | 6 | G6 | invoicetool_s05_make_payments_wire_stripe_payment_processing_using_boi, invoicetool_s08_email_notifications_for_invoice_status, invoicetool_s08_email_notifications_for_invoice_status_wire_mailerlite_email_notifications_usin, wynwood_thoroughbreds_p1, wynwood_thoroughbreds_p1_contentpage
The method `getAccessTokenSilently` is not destructured correctly in the incorrect location. However, note that the problem is actually elsewhere, see next defect. | 41 | G2 | ai_workforce_intelligence, invoicetool_s05_make_payments, wynwood_thoroughbreds_p1, wynwood_thoroughbreds_p1_member
The presence of this compiled file is indicative of unnecessary artifacts in the deployment. | 8 | G2 | adversarial_ai_validator_integrate_anthropic_sdk_for_advocate_rol, ai_workforce_intelligence_downloadable_executive_report, wynwood_thoroughbreds_p1
Intake KPI 'HLD' has no implementation in any service or route. | 3 | G6 | invoicetool_s05_make_payments_wire_stripe_payment_processing_using_boi, invoicetool_s08_email_notifications_for_invoice_status, invoicetool_s08_email_notifications_for_invoice_status_wire_mailerlite_email_notifications_usin
The `owner_id` field is incorrectly included in the Assessment model. | 2 | G2 | ai_workforce_intelligence_kpi_scoring_engine, ai_workforce_intelligence_narrative_summary_generator
`.tsx` or `.ts` frontend files are present instead of .jsx. | 16 | G2 | ai_workforce_intelligence
The code attempts to use a method that doesn't exist on the user object. | 5 | G2 | ai_workforce_intelligence
The description is too generic and does not provide a specific overview of the service. | 4 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The inclusion of the `status` column implies new functionality not stated in the intake. | 4 | G2 | ai_workforce_intelligence
The token is retrieved using the wrong method on the user object. | 4 | G2 | wynwood_thoroughbreds_p1
The functionality of creating and managing client profiles is mismatched with intake specifications. | 3 | G2 | ai_workforce_intelligence
The frontend page does not fulfill the requirement to be in `.jsx` format consistent with guidelines. | 3 | G2 | wynwood_thoroughbreds_p1
The application attempts to use a method that doesn't exist on the user object. | 3 | G2 | ai_workforce_intelligence
Missing `.env.example` file | 2 | G2 | wynwood_thoroughbreds
Missing `.env.example` configuration file | 2 | G2 | wynwood_thoroughbreds
Missing `artifact_manifest.json` | 2 | G2 | wynwood_thoroughbreds
At least one `business/frontend/pages/*.jsx` file must be present as per spec. | 2 | G2 | wynwood_thoroughbreds_p1
Missing required dependencies as outlined in the intake document. | 2 | G2 | wynwood_thoroughbreds_p1
The horse fetching logic lacks error handling as defined in the intake requirements. | 2 | G2 | wynwood_thoroughbreds_p1
Required backend endpoint implementations are missing. | 2 | G2 | wynwood_thoroughbreds_p1
This file includes membership information and personalized greetings, which were not specified in the intake document. | 2 | G2 | wynwood_thoroughbreds_p1
`business/README-INTEGRATION.md` file is missing. | 2 | G2 | ai_workforce_intelligence
The file introduces a POST endpoint for creating clients, which exceeds the defined requirements in the intake. | 2 | G2 | ai_workforce_intelligence
The analytics model introduces functionality for platform metrics not defined in the intake. | 2 | G2 | ai_workforce_intelligence
The file includes a `GET` endpoint for listing clients and individual profile retrieval, which is not specified in the intake. | 2 | G2 | ai_workforce_intelligence
The `GET` endpoint for listing clients introduces client management features not defined in the intake requirements. | 2 | G2 | ai_workforce_intelligence
The assessment model has attributes that introduce complexity beyond what is specified in the intake. | 2 | G2 | ai_workforce_intelligence
The file contains routes that introduce client management features not defined in the intake. | 2 | G2 | ai_workforce_intelligence
`business/README-INTEGRATION.md` is missing | 2 | G2 | ai_workforce_intelligence
The `status` property represents new functionality outside of the specified scope. | 2 | G2 | ai_workforce_intelligence
Inclusion of the `status` column implies new functionality not stated in the intake. | 2 | G2 | ai_workforce_intelligence
The Dashboard component diverges from the structure specified in the intake requirements. | 2 | G2 | ai_workforce_intelligence
artifact_manifest.json file is missing. | 2 | G2 | wynwood_thoroughbreds
The model includes an excess field property `status`, which is not covered by the intake specifications. | 2 | G2 | wynwood_thoroughbreds_p1
The route does not specify a path. | 2 | G2 | wynwood_thoroughbreds_p1
The inclusion of the `updated_at` attribute in the `Assessment` model was not specified in the intake as a required feature. | 2 | G2 | ai_workforce_intelligence
Lack of unit tests violates expected test coverage for a production build. | 2 | G2 | ai_workforce_intelligence_narrative_summary_generator
The addition of a `status` property in the Analysis model which was not outlined in the intake specifications. | 2 | G2 | adversarial_ai_validator_integrate_anthropic_sdk_for_advocate_rol
Implementation of mock racing data service that simulates real-world racing data integration | 1 | G2 | wynwood_thoroughbreds
Inconsistent handling of horse status - missing fallback for null or undefined values. | 1 | G2 | wynwood_thoroughbreds
Setup/installation instructions are not provided. | 1 | G2 | wynwood_thoroughbreds
File checksums for verification are not provided. | 1 | G2 | wynwood_thoroughbreds
The file artifact_manifest.json is missing. | 1 | G2 | wynwood_thoroughbreds
The file build_state.json is missing. | 1 | G2 | wynwood_thoroughbreds
Implementation files have not been listed within an artifact manifest. | 1 | G2 | wynwood_thoroughbreds
Functionality to delete a breeding record is not defined in the BreedingRepository class. | 1 | G2 | wynwood_thoroughbreds
The artifact_manifest.json file is missing, which should list all the files with their SHA256 checksums. | 1 | G2 | wynwood_thoroughbreds
The build_state.json file is missing, which should indicate the state as COMPLETED_CLOSED. | 1 | G2 | wynwood_thoroughbreds
README with setup/installation instructions is missing for the overall project. | 1 | G2 | wynwood_thoroughbreds
The `Member` class lacks an `updateProfile` method | 1 | G2 | wynwood_thoroughbreds
The test cases for investment routes imply a feature (investments) that is not fully implemented in the provided files. | 1 | G2 | wynwood_thoroughbreds
The file does not have complete information or checksums for all artifacts. | 1 | G2 | wynwood_thoroughbreds
The required file `build_state.json` is missing. | 1 | G2 | wynwood_thoroughbreds
Missing configuration setup file. | 1 | G2 | wynwood_thoroughbreds
Investment feature is not part of the original intake requirements. | 1 | G2 | wynwood_thoroughbreds
`includes` method usage on an object. | 1 | G2 | wynwood_thoroughbreds
Tests reference properties like 'name' and 'email' that aren't in the `Member` model. | 1 | G2 | wynwood_thoroughbreds
README file is missing from the provided outputs. | 1 | G2 | wynwood_thoroughbreds
Missing from the build output. | 1 | G2 | wynwood_thoroughbreds
Implementation includes a mock service; expectation was integration with real provider. | 1 | G2 | wynwood_thoroughbreds
CATEGORIES implementation adds complexity by inferring multiple unused categories. | 1 | G2 | wynwood_thoroughbreds
The `findByEmail` function is a mock implementation and does not perform an actual database query. | 1 | G2 | wynwood_thoroughbreds
README.md file is missing setup/installation instructions. | 1 | G2 | wynwood_thoroughbreds
InvestmentService and related tests are present, but investment tracking was not a specified feature in the intake. | 1 | G2 | wynwood_thoroughbreds
`artifact_manifest.json` is missing from the provided files. | 1 | G2 | wynwood_thoroughbreds
`build_state.json` is missing from the provided files. | 1 | G2 | wynwood_thoroughbreds
Missing `build_state.json` | 1 | G2 | wynwood_thoroughbreds
Test cases depend on server status but no setup or teardown ensures the server state; potential flakiness. | 1 | G2 | wynwood_thoroughbreds
Implementing a mock data service without specific instruction in the intake. | 1 | G2 | wynwood_thoroughbreds
Member-related APIs and business logic seem missing or not clearly demonstrated in the provided code samples. | 1 | G2 | wynwood_thoroughbreds
The artifact_manifest.json file content was not provided, and consequently, I couldn't verify its presence or validate the checksums of included files. | 1 | G2 | wynwood_thoroughbreds
The build_state.json content was not provided, making verification of the build state impossible. | 1 | G2 | wynwood_thoroughbreds
The HRIS data submission includes a "data_source" field that isn't being accessed or used within the `AssessmentForm` component. This might cause unexpected behavior or data inconsistency. | 1 | G2 | ai_workforce_intelligence
`README-INTEGRATION.md` lists BambooHR, Workday, and ADP integration placeholders, but these integrations are not fully implemented according to the intake requirements. | 1 | G2 | ai_workforce_intelligence
Additional user-facing features such as "Performance Rating Distribution" and "Skills Gap Analysis" were identified, which were not explicitly mentioned in the intake. | 1 | G2 | ai_workforce_intelligence
Missing dependency declaration for "fastapi" and "sqlalchemy", which are used in the backend routes. | 1 | G2 | ai_workforce_intelligence
